,5402,5404,5405,5403
2023-01-11,2.35,0.01,0.01,2.35
2023-01-12,4.7,6.0,0.01,7.05
2023-01-13,4.05,4.0,2.0,0.01
2023-01-14,10.15,8.0,4.0,10.4
2023-01-15,2.35,0.01,2.0,2.35
2023-01-16,9.65,6.0,8.75,12.0
2023-01-17,5.2,4.0,4.0,5.2
2023-01-18,11.75,12.0,10.0,14.1
2023-01-19,7.05,6.0,4.0,9.4
2023-01-20,0.01,6.0,0.01,2.35
2023-01-21,2.85,6.0,2.0,7.05
2023-01-22,7.55,4.0,0.01,4.95
2023-01-23,2.35,4.0,2.0,4.7
2023-01-24,2.35,4.0,0.01,4.7
2023-01-25,0.01,2.0,0.01,4.7
2023-01-26,12.25,12.25,8.0,21.9
2023-01-27,2.35,2.0,2.0,4.7
2023-01-28,0.01,0.01,0.01,2.85
2023-01-29,9.4,6.0,6.5,7.3
2023-01-30,2.6,2.0,0.01,2.6
2023-01-31,4.7,3.1,6.0,9.4
2023-02-01,0.01,2.0,0.01,2.35
2023-02-02,2.35,4.0,3.0,7.05
2023-02-03,7.55,6.0,6.0,12.25
2023-02-04,2.35,4.0,2.0,7.3
2023-02-05,2.6,2.0,0.01,0.01
2023-02-06,14.6,10.0,10.0,14.2
2023-02-07,7.55,6.75,0.01,9.9
2023-02-08,7.05,4.0,4.0,4.7
2023-02-09,0.01,0.01,2.0,2.35
2023-02-10,10.15,8.0,6.0,12.75
2023-02-11,8.05,6.0,4.0,6.05
2023-02-12,2.6,8.0,2.0,4.95
2023-02-13,7.3,5.25,4.25,5.2
2023-02-14,2.35,2.0,0.01,5.2
2023-02-15,2.6,4.0,0.01,4.95
2023-02-16,2.35,6.0,2.0,4.7
2023-02-17,4.7,2.0,4.0,4.7
2023-02-18,2.6,0.01,2.0,0.01
2023-02-19,5.2,7.1,4.0,12.25
2023-02-20,16.95,12.5,10.0,14.6
2023-02-21,4.7,6.0,4.0,9.65
2023-02-22,0.01,2.0,0.01,4.7
2023-02-23,4.95,6.0,4.0,10.15
2023-02-24,0.01,0.01,0.01,0.01
2023-02-25,2.35,2.0,2.0,4.7
2023-02-26,4.95,6.5,2.75,7.8
2023-02-27,8.05,8.0,6.0,7.55
2023-02-28,0.01,2.0,0.01,0.01
2023-03-01,0.01,6.0,0.01,7.3
2023-03-02,2.35,2.0,2.0,4.7
2023-03-03,7.05,4.5,4.0,7.05
2023-03-04,8.05,10.0,7.6,12.75
2023-03-05,9.9,4.0,10.0,9.65
2023-03-06,5.2,0.01,0.01,0.01
2023-03-07,12.75,6.25,10.0,9.9
2023-03-08,0.01,0.01,0.01,0.01
2023-03-09,0.01,0.01,0.01,0.01
2023-03-10,4.7,2.0,2.0,4.7
2023-03-11,13.85,8.0,8.75,13.0
2023-03-12,9.9,7.35,6.0,9.65
2023-03-13,11.75,13.0,12.75,14.35
2023-03-14,0.01,2.0,0.01,2.35
2023-03-15,0.01,4.75,0.01,4.95
2023-03-16,2.35,2.0,0.01,2.35
2023-03-17,0.01,0.01,0.01,2.35
2023-03-18,4.95,4.0,4.0,7.3
2023-03-19,5.7,6.0,2.0,10.65
2023-03-20,12.75,10.0,10.0,12.25
2023-03-21,2.35,2.0,2.0,2.35
2023-03-22,4.95,6.0,0.01,5.8
2023-03-23,0.01,0.01,0.01,0.01
2023-03-24,0.01,2.0,0.01,2.35
2023-03-25,0.01,0.01,0.01,0.01
2023-03-26,10.4,9.25,8.0,17.45
2023-03-27,7.3,5.1,4.0,9.65
2023-03-28,7.8,6.0,6.0,12.5
2023-03-29,0.01,0.01,2.0,2.35
2023-03-30,12.0,12.0,10.0,14.35
2023-03-31,0.01,2.0,0.01,2.35
2023-04-01,0.01,2.0,0.01,2.35
2023-04-02,13.0,6.0,4.5,7.8
2023-04-03,7.8,4.0,6.0,4.95
2023-04-04,3.81,4.0,2.0,7.05
2023-04-05,0.01,0.01,0.01,0.01
2023-04-06,9.65,8.0,6.0,9.4
2023-04-07,4.7,4.0,4.0,4.7
2023-04-08,2.35,0.01,2.0,2.35
2023-04-09,9.65,6.0,6.0,9.4
2023-04-10,0.01,2.0,0.01,2.35
2023-04-11,2.35,2.0,0.01,4.7
2023-04-12,5.45,8.0,6.0,13.0
2023-04-13,2.35,2.0,2.0,2.35
2023-04-14,7.55,6.0,4.0,9.9
2023-04-15,0.01,2.0,0.01,2.35
2023-04-16,2.6,6.0,4.0,9.9
2023-04-17,7.05,7.75,9.0,14.2
2023-04-18,4.7,4.5,4.0,9.65
2023-04-19,4.55,2.0,6.0,4.95
2023-04-20,0.01,0.01,0.01,0.01
2023-04-21,4.7,4.0,4.0,4.7
2023-04-22,5.2,4.0,4.0,4.95
2023-04-23,4.7,6.0,4.0,7.3
2023-04-24,9.65,6.5,8.0,9.9
2023-04-25,4.7,4.0,4.0,4.7
2023-04-26,7.05,8.0,6.0,11.75
2023-04-27,4.7,2.0,4.0,7.05
2023-04-28,2.35,4.0,2.0,7.05
2023-04-29,2.35,2.0,2.0,2.35
2023-04-30,12.85,2.0,7.75,10.4
2023-05-01,7.55,10.0,6.0,14.85
2023-05-02,0.01,4.0,0.01,4.95
2023-05-03,7.3,6.0,6.0,12.25
2023-05-04,0.01,0.01,0.01,0.01
2023-05-05,2.35,2.0,0.01,2.35
2023-05-06,5.45,10.0,6.0,17.45
2023-05-07,0.01,2.0,0.01,7.3
2023-05-08,7.3,2.0,2.0,4.95
2023-05-09,13.0,10.0,8.5,12.25
2023-05-10,0.01,0.01,0.01,0.01
2023-05-11,0.01,2.0,0.01,2.35
2023-05-12,2.35,4.0,4.0,9.4
2023-05-13,7.55,6.0,6.0,8.05
2023-05-14,5.7,2.0,2.0,2.85
2023-05-15,0.01,0.01,0.01,0.01
