,4580,3736,3739,3735,3747,3746
2022-12-05,0.01,0.01,0.01,2.25,0.01,4.5
2022-12-06,2.24,3.41,3.8,0.01,4.5,2.25
2022-12-07,11.2,7.5,12.37,5.0,9.0,4.8
2022-12-08,0.01,2.24,0.01,0.01,2.25,0.01
2022-12-09,2.24,2.24,2.24,4.5,2.83,4.5
2022-12-10,0.01,0.01,0.01,5.5,2.25,2.25
2022-12-11,2.24,2.24,2.24,4.5,2.25,4.8
2022-12-12,4.48,4.48,8.96,4.5,6.75,6.75
2022-12-13,0.01,0.01,0.01,0.01,0.01,2.25
2022-12-14,4.48,2.24,2.24,2.25,2.25,4.5
2022-12-15,4.48,7.5,7.5,8.75,11.55,4.5
2022-12-16,0.01,0.01,0.01,4.5,0.01,2.25
2022-12-17,4.48,4.48,4.87,0.01,4.5,0.01
2022-12-18,4.48,6.72,2.24,4.5,6.75,6.75
2022-12-19,2.24,0.01,0.01,10.5,4.5,4.5
2022-12-20,4.48,2.24,4.48,2.25,2.25,2.25
2022-12-21,8.96,7.89,7.11,6.75,4.8,9.6
2022-12-22,8.96,3.41,10.52,6.75,11.25,6.75
2022-12-23,2.24,4.48,2.24,2.25,2.25,0.01
2022-12-24,2.24,0.01,3.02,0.01,0.01,0.01
2022-12-25,2.24,2.24,2.24,2.25,2.55,2.25
2022-12-26,0.01,0.01,0.01,0.01,0.01,0.01
2022-12-27,0.01,0.01,0.01,0.01,0.01,0.01
2022-12-28,4.48,2.24,2.63,2.25,2.25,2.25
2022-12-29,2.24,4.87,5.65,2.25,2.25,7.05
2022-12-30,2.24,4.48,4.48,6.84,4.5,4.5
2022-12-31,0.01,2.63,2.63,0.01,0.01,0.01
2023-01-01,0.01,0.01,0.01,2.25,0.01,4.5
2023-01-02,11.2,6.72,11.98,10.0,13.5,4.5
2023-01-03,4.48,4.48,3.02,3.25,2.55,4.8
2023-01-04,4.48,2.24,7.89,2.25,4.5,4.5
2023-01-05,4.48,2.24,2.63,4.5,2.25,4.8
2023-01-06,2.24,0.01,4.48,0.01,0.01,0.01
2023-01-07,2.24,4.48,2.24,5.0,4.5,4.5
2023-01-08,2.24,2.24,2.24,4.5,2.25,4.5
2023-01-09,6.72,2.24,4.48,5.0,4.5,7.35
2023-01-10,4.48,0.01,5.26,7.25,4.5,6.75
2023-01-11,11.2,9.35,10.13,4.5,6.75,4.8
2023-01-12,0.01,2.24,2.24,4.5,2.25,2.25
2023-01-13,2.24,5.65,18.02,6.75,24.3,9.3
2023-01-14,0.01,4.48,0.01,2.25,4.5,4.5
2023-01-15,0.01,2.24,0.01,2.25,2.25,0.01
2023-01-16,0.01,4.48,0.01,4.5,4.5,4.8
2023-01-17,0.01,2.24,0.01,2.25,2.25,6.75
2023-01-18,6.72,2.24,8.96,2.75,1.52,2.25
2023-01-19,2.24,4.48,2.24,2.25,2.25,0.01
